SGV, Raw, SavitzkyGolay, LeastSquares, Flat, Hamming
94.0,111.266276928,111.692904922,153.454518411,136.735957204,140.485079698
82.0,95.3286248047,95.4116045978,153.835003456,124.07058202,124.948220741
73.0,83.3703453695,83.9191615755,154.211109926,109.611845549,107.976979464
67.0,74.8500261255,73.5120377164,154.582824561,95.1948726206,93.2561345719
60.0,62.8233988389,63.7413797179,154.950135072,82.3127164246,81.4389244278
57.0,55.9560600487,55.3582192353,155.313030125,71.9404069993,71.238977796
56.0,52.2038293729,53.6315230921,155.671499334,64.2555425885,62.3510538364
60.0,56.4973359192,54.876295832,156.025533238,59.4120867115,56.5980376238
62.0,57.1107820722,57.8556816063,156.375123298,56.8229476428,55.0157282864
66.0,61.2305045677,61.1076252567,156.720261876,57.2866690157,56.4792321593
70.0,67.3523455772,68.3481468501,157.060942226,60.2875576893,59.3315764202
75.0,75.4057392339,73.8037401357,157.397158481,64.5712788335,63.7710760136
75.0,73.7024381536,73.0970303217,157.728905639,67.7074347034,69.1100405255
74.0,69.244184431,70.9876923439,158.056179549,70.3087234273,72.503953751
81.0,76.0958115322,76.5720903383,158.378976902,73.6480210497,72.8854122328
88.0,87.9812272728,87.2802277477,158.697295215,77.5961725112,74.4220834529
90.0,93.0677533967,91.3482619621,159.011132821,80.9043085285,80.3088957879
88.0,87.7010394406,88.8595495786,159.320488856,84.0315257202,86.9718867008
91.0,88.2874683447,89.7591979047,159.625363246,88.0137977051,89.6852630203
96.0,97.717471439,95.6291369565,159.925756696,91.8377567525,90.0094973166
108.0,101.711301853,103.426714,160.221670676,94.820834496,92.835049048
114.0,110.353115011,109.20070174,160.513107412,98.8565371502,98.5557095887
117.0,113.713924627,112.843721548,160.800069873,104.136798743,104.765500858
122.0,115.309565911,117.623579053,161.082561758,109.822638253,110.328536135
137.0,128.808243327,128.084923053,161.360587485,116.593377023,115.239622968
145.0,140.881341351,139.156177116,161.634152181,124.250523338,122.155204977
149.0,146.638980987,151.131712232,161.903261668,132.288439712,132.149534304
150.0,161.318199313,155.962042431,162.167922456,140.79756999,142.24254016
137.0,147.740835559,148.626800812,162.428141726,145.242440767,149.735761301
126.0,131.217225917,133.391378001,162.683927323,144.583823248,150.475928331
122.0,126.721445299,125.786252169,162.935287743,141.148426878,142.319906734
118.0,123.862460965,123.853306898,163.182232122,135.510394503,132.421684344
114.0,123.159826694,124.778784303,163.424770229,128.961175455,126.670858729
111.0,125.23989371,122.292215458,163.662912449,124.671958488,124.291471591
102.0,111.841174461,112.879981297,163.896669777,120.202033246,122.477913733
95.0,99.0917609975,99.4866126174,164.126053805,114.290212446,117.356256602
92.0,91.0003322853,91.1954802818,164.351076712,107.46428379,107.723668915
92.0,86.9689650597,86.0526386821,164.571751255,99.8542007349,97.7361395071
93.0,84.1230094301,85.178695607,164.788090757,93.0359946303,90.778002367
99.0,90.2782899115,90.5233768766,165.000109099,90.4273392739,87.5618023856
107.0,100.934292288,97.2462027499,165.207820705,91.9664549035,88.8932051967
113.0,108.731154418,117.554677417,165.411240538,98.8259817415,95.4104690296
157.0,149.336725438,133.333349987,165.610384087,111.995816196,107.435775481
163.0,155.477752835,179.465256415,165.805267356,132.662179449,127.061492114
251.0,246.587031023,228.265305787,165.995906857,164.367987281,156.08411144
258.0,262.243145988,264.367733251,166.182319597,195.61844302,195.969081215
253.0,255.778144805,258.960808668,166.364523074,221.993446173,235.774342018
252.0,255.737223151,254.937846923,166.54253526,242.679880526,254.418286139
250.0,253.534498298,253.727682976,166.716374597,255.032127979,256.27174738
248.0,249.910143507,249.067306062,166.886059986,253.976401081,254.33659137
245.0,243.350510795,243.99448935,167.051610778,250.60197101,251.437673093
245.0,242.175055708,243.079387491,167.213046765,248.271704937,247.572964797
248.0,247.190150648,245.798799146,167.370388169,246.847329143,244.765460889
249.0,248.651630541,250.736564215,167.523655636,246.504076178,245.058562588
252.0,253.047764499,249.46407445,167.672870224,246.818667501,247.402857246
249.0,242.542595433,243.932922882,167.818053397,246.636133862,248.873697903
250.0,241.10988349,244.355271505,167.959227015,247.258236778,247.461831668
259.0,256.502901911,252.413852696,168.096413324,249.177224904,245.758539443
260.0,258.612063767,261.162975518,168.22963495,251.338403219,249.020618315
263.0,265.0333563,263.317609144,168.358914889,254.483006897,255.601004848
262.0,263.602129649,264.381001089,168.484276499,258.704093726,260.655721539
261.0,262.170784106,261.560901002,168.605743489,261.432419822,262.958350986
259.0,259.504886492,260.553128622,168.723339916,262.023410844,262.726337933
260.0,261.485306514,261.197373758,168.837090173,262.086152813,261.491942384
260.0,261.763422369,260.61606367,168.947018981,261.18035475,260.893845453
257.0,257.349827735,258.725177742,169.053151382,260.156957822,260.735879624
257.0,258.640967782,258.338328513,169.155512732,259.789821798,259.815391952
257.0,259.987537598,260.083764434,169.25412869,259.656638239,258.89083333
256.0,259.271023743,257.711563913,169.349025214,258.67311858,258.94558544
252.0,253.25026635,255.809915574,169.440228549,257.659276705,258.608103329
253.0,256.877803568,255.282950418,169.527765224,257.311495666,257.020482387
251.0,255.24359927,255.340404976,169.61166204,256.235175648,255.728920177
248.0,252.044237414,252.185289234,169.691946067,254.513663054,255.12019689
245.0,249.846902052,250.486421743,169.768644632,253.129579121,253.622020697
243.0,249.573172669,248.353694928,169.841785316,251.640794764,251.464902303
238.0,244.683565687,245.892642621,169.911395941,249.180418624,249.427622892
235.0,242.865837838,242.050067628,169.977504569,246.524433316,246.994501623
230.0,237.701848291,237.929688339,170.040139493,243.361962032,243.819585541
225.0,232.29077533,232.268065645,170.099329228,239.398326314,239.937220086
220.0,227.073663344,227.225849442,170.155102503,234.940497342,235.189462639
216.0,222.756503045,222.769007628,170.207488259,230.303164509,230.094844079
212.0,218.269780664,217.721417851,170.25651564,225.308763622,225.224552776
207.0,212.398095624,213.300376379,170.302213982,220.543121849,220.521959622
204.0,210.323613502,209.492524916,170.344612814,216.287233596,215.899543333
200.0,206.701891064,208.263505822,170.383741843,212.528092319,211.904353476
198.0,205.884518575,203.210556308,170.419630957,208.458806938,208.705011266
191.0,194.00424746,195.681288296,170.452310208,203.61931084,205.083285044
188.0,188.390055601,188.143677214,170.481809813,198.853347113,199.447234192
187.0,186.805444462,187.616652008,170.508160147,194.77179769,193.037274883
188.0,189.888330025,188.624680467,170.531391733,191.377367348,189.19655793
187.0,188.81254024,189.877060166,170.551535238,189.150991874,188.525287865
187.0,189.494481232,188.341394837,170.568621468,188.395339386,188.926046233
185.0,185.431159992,186.122819041,170.582681359,187.775949617,188.616200861
184.0,183.572258122,183.360951785,170.593745975,186.755917042,187.109631261
184.0,182.798101659,183.173315378,170.601846498,185.599484923,185.06288903
185.0,184.45425724,184.001092108,170.607014224,184.762209073,183.832551757
185.0,185.508798117,186.158159888,170.609280558,184.62517468,183.984000681
186.0,188.216724077,187.620874647,170.608677005,185.271773719,185.12918892
185.0,187.257147578,187.017089878,170.60523517,185.79122457,186.45669045
183.0,184.260757758,184.773728038,170.598986747,185.860773435,186.818391824
182.0,183.658916926,183.651225737,170.589963515,185.620289265,185.775097806
181.0,183.898334122,183.882625784,170.578197333,184.988754635,184.47625837
180.0,183.515448922,183.331844677,170.563720136,183.913456443,183.825016783
178.0,181.229964847,181.200084994,170.546563927,182.672182151,183.26069327
176.0,177.903634939,177.81870179,170.526760772,181.139496763,181.840195171
174.0,174.746810524,175.098135531,170.504342797,179.249032578,179.400535637
174.0,173.960729667,173.91843989,170.479342182,177.264375421,176.731863068
174.0,173.64783868,173.25889586,170.451791152,175.393344468,174.818602462
174.0,172.403964601,172.767718826,170.421721978,174.065294419,173.795962343
175.0,173.362600703,173.40758028,170.38916697,173.693276371,173.269323023
176.0,175.413440957,175.386334845,170.354158468,174.064938083,173.443127574
177.0,176.921417603,176.584793368,170.316728842,174.654096489,174.52025254
177.0,176.567700852,176.83686883,170.276910488,175.410594506,175.807783171
177.0,176.960743659,177.119230818,170.234735816,176.287070817,176.554585397
178.0,177.568705906,177.313360982,170.190237254,176.749409747,176.866185151
179.0,176.010730619,175.20283609,170.143447238,176.378319389,176.906420331
179.0,172.88498493,174.71291936,170.094398209,176.173772638,176.259618434
184.0,178.215072147,176.318680733,170.043122609,176.727191331,175.544873794
186.0,180.698693893,182.539260272,169.989652874,178.53258634,176.732776009
191.0,191.158118287,191.381227971,169.934021433,182.261938534,180.647344112
194.0,198.942339025,195.643673006,169.876260703,186.315693997,186.800342887
189.0,190.797403495,193.779762997,169.816403081,189.453028666,192.296605205
188.0,191.953795979,191.493189652,169.754480946,192.033525683,193.615425518
187.0,192.847806569,192.240112754,169.690526648,192.935527667,192.53478043
183.0,189.289465841,189.090889884,169.624572511,191.145166601,191.686303935
179.0,184.178565552,185.26132393,169.556650821,188.924347701,189.950149812
176.0,182.731616958,181.454195168,169.48679383,186.604488132,186.761064692
171.0,177.532950236,178.438606453,169.415033746,183.452298274,183.295270311
167.0,176.070149773,176.67056,169.341402731,180.396551538,180.02047347
163.0,175.264810755,172.99411304,169.2659329,177.012387643,177.180748422
154.0,165.033742383,167.082074416,169.188656311,172.972721738,174.116852988
148.0,161.785227201,161.849764002,169.109604967,168.937296974,169.359541187
141.0,158.030340701,156.425605836,169.028810812,163.778172502,163.861827211
130.0,145.52722903,146.095229831,168.946305721,156.523602398,158.026701668
120.0,134.755945086,135.958016012,168.862121504,148.980026565,149.986187578
112.0,129.569865751,128.465220516,168.776289899,141.124874473,140.483099527
102.0,119.798207105,120.090043662,168.688842568,131.802844292,131.726297043
92.0,108.157712963,107.798865977,168.599811097,121.611342497,122.897777401
82.0,93.960367312,94.1165233314,168.509226985,110.988017359,112.221933253
73.0,80.7047023114,80.1828878559,168.417121651,99.5207727329,99.7291131035
66.0,70.0674298955,72.1449245082,168.323526423,88.7051910202,87.0635612835
65.0,69.8130973121,67.7899432728,168.228472536,79.3069136969,76.809885373
61.0,63.4688146605,63.6981060396,168.131991132,71.3953073858,70.3257919348
58.0,58.1651558313,59.1606056137,168.034113254,65.8074145168,65.6368598996
59.0,58.3576286259,57.5530241913,167.934869845,62.4139089219,61.4565885487
59.0,56.8881600518,56.6321044796,167.834291741,59.6953619553,58.7875869965
59.0,55.9857288539,57.1159943781,167.732409672,58.2627400214,57.5525390652
62.0,60.8666287858,60.055572167,167.629254259,58.698502208,57.5253356704
63.0,63.560722486,63.9652927153,167.524856008,59.9970126674,59.3147618532
64.0,65.5601998121,64.6598763934,167.41924531,61.3859583003,62.0290035208
62.0,63.6372646131,64.8380532134,167.312452436,63.0209629011,63.914288931
62.0,65.0678939565,65.3391583872,167.204507537,64.012010388,64.4264073797
58.0,63.1188645732,59.6718372239,167.095440637,62.2797570373,63.9570761758
48.0,47.8922015027,51.6545120545,166.985281637,59.1165094038,61.0894847863
48.0,49.7052488603,50.0588910941,166.874060305,56.8221513072,55.4135558547
50.0,54.9817276573,51.7570526566,166.761806277,53.8075118404,51.6481048988
45.0,46.0195328441,47.6177321979,166.648549055,49.8249468209,50.8697520619
43.0,42.7377677117,44.344131839,166.534318005,48.0834810229,48.7976250446
46.0,46.4098764231,43.2512494593,166.41914235,46.7094517132,45.7947371498
43.0,39.5683883231,41.7101789192,166.303051175,44.272103747,44.0834836145
45.0,41.596480667,41.4900917639,166.186073416,43.375446914,42.6819705389
49.0,46.8897737557,47.0756360776,166.068237865,44.4899379453,42.5924352501
52.0,51.0850917593,49.3321405225,165.949573164,45.2664817894,45.0998761992
51.0,47.6508650916,49.074511713,165.830107805,46.7427660679,47.9702860112
53.0,50.5066219291,51.0867907855,165.709870123,49.4975551286,49.258639182
57.0,56.9626798652,55.7346499659,165.588888301,51.9790064973,50.8583094406
57.0,57.5607198358,57.8986393252,165.467190362,53.5312585221,53.9350057568
57.0,57.1694382681,57.1102722729,165.34480417,55.1331018942,56.3895788899
56.0,56.7151375464,52.2526454935,165.221757427,56.7237257981,57.1236468862
55.0,57.8143899995,71.286441341,165.09807767,64.6309310633,58.4622964122
117.0,114.146175241,99.8620173659,164.97379227,77.0605482988,68.3956374316
121.0,122.215540567,131.872170961,164.848928433,93.0558367644,91.7163618617
134.0,145.176041817,138.447392421,164.723513192,109.233710655,116.141608105
130.0,133.520546899,134.535153729,164.597573411,122.222438486,130.964559552
123.0,116.242833345,118.225311428,164.471135778,125.781344581,132.227045769
117.0,110.499599007,110.116057857,164.344226807,123.963440035,123.630806624
123.0,110.318630767,109.696774762,164.216872838,119.057270034,115.185494772
123.0,114.202362262,115.68960766,164.089100028,116.212510892,112.35952414
132.0,127.908213856,127.732159517,163.960934357,118.974163827,115.607724786
141.0,139.842409603,138.425923517,163.832401622,124.553949437,123.992615413
148.0,140.465140849,139.607828305,163.703527437,130.088351159,133.185565611
146.0,136.762269946,138.903422922,163.574337231,136.070315824,138.153124729
148.0,145.721638924,146.139631132,163.444856247,142.377430105,140.219488859
157.0,159.350971768,157.741951146,163.31510954,147.800218502,145.1990994
160.0,164.781416704,165.157513183,163.185121977,153.13944365,153.805334902
158.0,167.916029218,168.431174628,163.054918232,159.46554631,161.547052057
156.0,170.270072538,169.991263441,162.924522788,164.559932721,166.239984128
152.0,167.348780101,166.6772103,162.793959937,165.736175816,168.058369669
144.0,157.91015814,158.331805796,162.663253773,163.41548851,166.13958019
135.0,148.547193902,148.951307043,162.532428197,158.680745717,160.054020494
126.0,140.933651975,140.821403,162.401506912,151.716503655,151.742227631
119.0,132.028643638,131.418018594,162.270513422,142.803057781,143.112443417
111.0,120.100851545,121.065692883,162.139471032,133.316535222,133.974487352
105.0,110.542917193,108.525592221,162.008402849,123.308065262,123.788874577
100.0,97.4909998038,99.2762320787,161.877331774,114.297774943,113.215439939
89.0,98.6167166065,100.424488677,161.746280511,108.771189594,104.531487131
95.0,110.763974957,108.199851107,161.615271555,106.036717932,102.123199708
90.0,109.686008054,110.329330101,161.4843272,104.079582754,105.385452668
82.0,101.05082734,100.428126399,161.353469535,101.471921399,106.586039174
73.0,83.0210203783,82.5509507881,161.222720439,95.2862282205,100.255331918
61.0,61.024019045,61.6469074226,161.092101586,83.875007558,86.295031976
53.0,45.9714004354,46.4719792109,160.961634444,70.4046077895,68.6402422751
51.0,41.5077105725,41.8464200594,160.831340268,58.5411449396,53.67906223
57.0,45.4374097649,44.5074297469,160.701240106,50.8755573807,46.0609752522
67.0,51.6133476403,52.2683479487,160.571354794,49.6465065575,46.1023154119
76.0,64.7381407033,64.2272969046,160.441704958,55.0475085956,51.9830025886
93.0,81.8727351934,83.957875051,160.312311012,66.3973482751,63.064253736
122.0,106.037921669,102.892984663,160.183193157,80.1985856318,79.0155361937
133.0,115.927859014,116.610740142,160.054371381,95.0311308236,96.9599068351
144.0,126.927637841,128.428642094,159.925865457,111.063773386,112.262917576
155.0,146.455402263,146.568595941,159.797694945,127.563920288,125.985170377
175.0,164.41758011,161.393965233,159.669879191,141.283671112,141.526704123
183.0,169.400006293,172.701418907,159.542437322,154.865655818,156.800117146
199.0,185.264022613,183.747604908,159.415388253,168.924291403,169.216767623
210.0,197.354490366,197.467965176,159.28875068,181.825697928,181.296890344
220.0,208.707810735,208.605050621,159.162543084,193.463723026,193.815613434
230.0,221.036512127,222.378187024,159.036783726,206.490195414,206.064056614
247.0,237.251990952,234.538871135,158.911490652,218.815694757,218.748200677
254.0,244.612769822,247.613733738,158.786681689,231.511511349,231.747105019
269.0,262.030435881,258.560276827,158.662374445,244.477799252,244.206164569
279.0,273.405330581,279.637617165,158.53858631,260.07315674,257.751868655
299.0,303.122984335,297.268403292,158.415334456,274.02814176,273.807511538
309.0,302.858917409,302.520465612,158.292635833,284.49853195,290.162688328
